timestamp,symbol,strategy,side,mode,event,entry_exit,stop,size,signal_price,intended_price,fill_price,slippage,spread_cost,execution_cost,pnl,r_multiple,session_bucket,client_order_id,order_status,filled_qty,remaining_qty,rejection_reason,notes
2026-04-07T15:45:00+00:00,AAPL,momentum,sell,backtest,stop_loss,round_trip,250.28415,2.8585,248.535,248.535,248.53496,0.213105,0.426211,0.639316,2.5,0.47,open,,,2.8585,0.0,,entry=248.435586
2026-04-13T16:15:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,260.775312,1.7463,257.905,257.905,257.918126,0.18012,0.360241,0.540361,-0.2,-0.04,open,,,1.7463,0.0,,entry=257.801838
2026-04-14T14:15:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,256.951013,2.2999,259.13,259.13,259.129959,0.178813,0.357626,0.53644,2.51,0.48,close,,,2.2999,0.0,,entry=259.233652
2026-04-15T17:45:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,260.556975,2.0907,262.96,262.96,264.334224,0.165238,0.330476,0.495714,3.95,0.75,midday,,,2.0907,0.0,,entry=263.065184
2026-04-16T13:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,265.03575,3.7879,266.31,266.31,264.929736,0.402537,0.805074,1.207611,-5.63,-1.08,close,,,3.7879,0.0,,entry=266.416524
2026-04-17T17:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.554425,2.452,271.6,271.6,270.471768,0.265885,0.53177,0.797655,-3.03,-0.57,midday,,,2.452,0.0,,entry=271.70864
2026-04-20T15:00:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.654175,1.8211,272.4,272.4,271.871208,0.198274,0.396548,0.594822,-1.16,-0.22,open,,,1.8211,0.0,,entry=272.50896
2026-04-21T18:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,267.84795,2.959,266.16,266.16,266.936732,0.315423,0.630847,0.94627,-2.61,-0.49,midday,,,2.959,0.0,,entry=266.053536
2026-04-22T18:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,267.7689,1.6996,270.7,270.7,272.59092,0.184713,0.369425,0.554138,3.03,0.59,open,,,1.6996,0.0,,entry=270.80828
2026-04-24T16:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,273.677487,2.0333,271.22,271.22,271.70864,0.220743,0.441486,0.66223,-1.21,-0.23,open,,,2.0333,0.0,,entry=271.111512
2026-05-01T14:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,277.694025,1.099,282.235,282.235,282.234955,0.093065,0.186131,0.279196,2.5,0.49,open,,,1.099,0.0,,entry=282.347894
2026-05-04T14:30:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,281.3015,1.0897,276.71,276.71,277.851096,0.120837,0.241674,0.36251,-1.36,-0.27,open,,,1.0897,0.0,,entry=276.599316
2026-04-07T15:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,372.383637,2.5445,370.42,370.42,369.367688,0.282451,0.564902,0.847353,3.84,0.71,open,,,2.5445,0.0,,entry=370.271832
2026-04-08T13:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,369.823125,1.9464,372.4,372.4,377.84943,0.218542,0.437084,0.655626,7.81,1.47,close,,,1.9464,0.0,,entry=372.54896
2026-04-08T19:45:00+00:00,MSFT,momentum,sell,backtest,stop_loss,round_trip,373.47135,2.5511,371.49,371.49,373.620739,0.380094,0.760188,1.140283,-5.81,-1.07,close,,,2.5511,0.0,,entry=371.341404
2026-04-09T15:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,373.366087,1.4014,369.78,369.78,370.368088,0.207407,0.414814,0.622222,-1.03,-0.2,open,,,1.4014,0.0,,entry=369.632088
2026-04-13T19:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,370.3917,1.2432,374.43,374.43,382.802734,0.140707,0.281415,0.422122,7.71,1.48,open,,,1.2432,0.0,,entry=374.579772
2026-04-14T12:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,381.70335,1.926,384.33,384.33,389.888478,0.223166,0.446333,0.669499,7.88,1.47,close,,,1.926,0.0,,entry=384.483732
2026-04-14T15:00:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,385.623525,0.7205,392.7,392.7,390.29382,0.112852,0.225704,0.338556,-1.85,-0.35,open,,,0.7205,0.0,,entry=392.85708
2026-04-15T19:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,395.7681,0.8088,402.06,402.06,411.13548,0.098303,0.196606,0.29491,6.21,1.19,open,,,0.8088,0.0,,entry=402.220824
2026-04-17T16:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,424.944975,1.5682,428.21,428.21,426.859188,0.268237,0.536475,0.804712,-2.39,-0.44,open,,,1.5682,0.0,,entry=428.381284
2026-04-21T17:00:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,419.174438,1.1128,423.765,423.765,424.38018,0.188801,0.377602,0.566403,0.5,0.09,open,,,1.1128,0.0,,entry=423.934506
2026-04-22T16:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,422.630775,0.9111,428.24,428.24,430.457748,0.156503,0.313007,0.46951,1.86,0.35,open,,,0.9111,0.0,,entry=428.411296
2026-04-23T14:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,422.704125,0.9653,417.4,417.4,421.76864,0.161977,0.323955,0.485932,-4.38,-0.83,open,,,0.9653,0.0,,entry=417.23304
2026-04-27T13:30:00+00:00,MSFT,momentum,buy,backtest,stop_loss,round_trip,422.8203,2.4015,424.59,424.59,424.589932,0.305941,0.611882,0.917823,2.12,0.46,close,,,2.4015,0.0,,entry=424.759836
2026-04-30T17:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,411.360837,0.8082,405.04,405.04,402.841072,0.098015,0.196031,0.294046,3.44,0.66,open,,,0.8082,0.0,,entry=404.877984
2026-05-01T13:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,407.049825,2.2831,409.295,409.295,413.444556,0.281319,0.562639,0.843958,7.3,1.33,close,,,2.2831,0.0,,entry=409.458718
2026-04-08T13:00:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,218.602125,1.7163,221.61,221.61,227.800525,0.115185,0.23037,0.345556,7.89,1.49,close,,,1.7163,0.0,,entry=221.698644
2026-04-10T15:45:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,236.457375,0.5604,245.74,245.74,245.071932,0.055021,0.110042,0.165064,-0.43,-0.08,open,,,0.5604,0.0,,entry=245.838296
2026-04-15T13:00:00+00:00,AMD,momentum,buy,backtest,stop_loss,round_trip,253.90365,4.0111,255.2,255.2,253.802089,0.408413,0.816826,1.225239,-6.02,-1.07,close,,,4.0111,0.0,,entry=255.30208
2026-04-16T13:30:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,256.028325,2.4775,258.115,258.115,262.493049,0.192952,0.385904,0.578856,8.01,1.48,close,,,2.4775,0.0,,entry=258.218246
2026-04-16T15:45:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,267.599325,1.5548,270.95,270.95,277.808832,0.127466,0.254931,0.382397,7.94,1.48,midday,,,1.5548,0.0,,entry=271.05838
2026-04-23T17:00:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,299.54925,1.098,304.33,304.33,305.67768,0.100408,0.200815,0.301223,3.36,0.63,open,,,1.098,0.0,,entry=304.451732
2026-04-24T17:15:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,333.977962,0.5102,344.3,344.3,346.456362,0.070499,0.140998,0.211497,1.03,0.19,open,,,0.5102,0.0,,entry=344.43772
2026-04-27T17:00:00+00:00,AMD,momentum,sell,backtest,target_or_structure,round_trip,349.97275,0.3212,333.56,333.56,334.603788,0.042914,0.085828,0.128743,-0.38,-0.07,open,,,0.3212,0.0,,entry=333.426576
2026-04-29T16:00:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,325.44435,0.9588,330.94,330.94,327.299028,0.126249,0.252498,0.378747,-3.62,-0.67,open,,,0.9588,0.0,,entry=331.072376
2026-04-30T14:30:00+00:00,AMD,momentum,buy,backtest,stop_loss,round_trip,341.145,1.2058,345.5,345.5,341.008542,0.165591,0.331183,0.496774,-5.58,-1.03,open,,,1.2058,0.0,,entry=345.6382
2026-04-30T18:45:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,344.661187,1.386,348.43,348.43,351.099504,0.145267,0.290533,0.4358,4.46,0.82,midday,,,1.386,0.0,,entry=348.569372
2026-05-04T17:15:00+00:00,AMD,momentum,sell,backtest,target_or_structure,round_trip,362.7446,0.3856,349.14,349.14,344.507748,0.053483,0.106967,0.16045,1.73,0.33,open,,,0.3856,0.0,,entry=349.000344
